Ticker,Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
AVGO,2024-03-07,1.04,1.1,5.44
AVGO,2024-06-12,1.08,1.1,1.08
AVGO,2024-09-05,1.21,1.24,2.79
AVGO,2024-12-12,1.39,1.42,2.04
AVGO,2025-03-06,1.51,1.6,6.11
AVGO,2025-06-05,1.57,1.58,0.59
AVGO,2025-09-04,1.66,1.69,1.6
AVGO,2025-12-11,1.87,1.95,4.38
AVGO,2026-03-04,2.02,2.05,1.32
BABA,2016-01-28,5.78,6.43,11.18
BABA,2016-05-05,3.66,3.02,-17.53
BABA,2016-08-11,4.19,4.9,17.08
BABA,2016-11-02,4.7,5.26,11.86
BABA,2017-01-24,7.71,9.02,17.0
BABA,2017-05-18,4.52,4.35,-3.73
BABA,2017-08-17,6.25,7.95,27.28
BABA,2017-11-02,6.84,8.57,25.29
BABA,2018-02-01,10.7,10.61,-0.85
BABA,2018-05-04,5.54,5.73,3.42
BABA,2018-08-23,8.34,8.04,-3.65
BABA,2018-11-02,7.64,9.6,25.66
BABA,2019-01-30,11.51,12.19,5.9
BABA,2019-05-15,6.5,8.57,31.82
BABA,2019-08-15,10.48,12.55,19.8
BABA,2019-11-01,10.68,13.1,22.7
BABA,2020-02-13,15.7,18.19,15.87
BABA,2020-05-22,6.07,9.2,51.61
BABA,2020-08-20,13.56,14.82,9.3
BABA,2020-11-05,13.91,17.97,29.18
BABA,2021-02-02,20.7,22.03,6.41
BABA,2021-05-13,11.35,10.32,-9.1
BABA,2021-08-03,14.28,16.6,16.28
BABA,2021-11-18,12.44,11.2,-9.96
BABA,2022-02-24,16.05,16.87,5.11
BABA,2022-05-26,7.12,7.95,11.64
BABA,2022-08-04,10.5,11.73,11.72
BABA,2022-11-17,11.6,12.92,11.4
BABA,2023-02-23,16.45,19.26,17.07
BABA,2023-05-18,9.51,10.71,12.62
BABA,2023-08-10,14.46,17.37,20.1
BABA,2023-11-16,15.11,15.63,3.44
BABA,2024-02-07,19.0,18.97,-0.16
BABA,2024-05-14,10.24,10.14,-0.93
BABA,2024-08-15,14.94,16.44,10.03
BABA,2024-11-15,14.77,15.06,1.95
BABA,2025-02-20,19.38,21.39,10.4
BABA,2025-05-15,12.81,12.52,-2.3
BABA,2025-08-29,15.47,14.75,-4.66
BABA,2025-11-25,5.78,4.36,-24.55
BABA,2026-03-19,10.94,7.09,-35.18
CSCO,2016-02-10,0.54,0.57,5.99
CSCO,2016-05-18,0.55,0.57,3.39
CSCO,2016-08-17,0.6,0.63,5.09
CSCO,2016-11-16,0.59,0.61,3.0
CSCO,2017-02-15,0.56,0.57,1.44
CSCO,2017-05-17,0.58,0.6,3.81
CSCO,2017-08-16,0.61,0.61,0.56
CSCO,2017-11-15,0.6,0.61,1.62
CSCO,2018-02-14,0.59,0.63,6.59
CSCO,2018-05-16,0.65,0.66,1.42
CSCO,2018-08-15,0.69,0.7,1.9
CSCO,2018-11-14,0.72,0.75,4.51
CSCO,2019-02-13,0.72,0.73,0.98
CSCO,2019-05-15,0.77,0.78,0.75
CSCO,2019-08-14,0.82,0.83,1.69
CSCO,2019-11-13,0.81,0.84,3.85
CSCO,2020-02-12,0.76,0.77,1.21
CSCO,2020-05-13,0.71,0.79,12.03
CSCO,2020-08-12,0.74,0.8,8.42
CSCO,2020-11-12,0.7,0.76,8.04
CSCO,2021-02-09,0.76,0.79,4.61
CSCO,2021-05-19,0.82,0.83,1.11
CSCO,2021-08-18,0.83,0.84,1.46
CSCO,2021-11-17,0.8,0.82,1.92
CSCO,2022-02-16,0.81,0.84,3.78
CSCO,2022-05-18,0.86,0.87,0.93
CSCO,2022-08-17,0.82,0.83,1.07
CSCO,2022-11-16,0.84,0.86,2.85
CSCO,2023-02-15,0.86,0.88,2.84
CSCO,2023-05-17,0.97,1.0,3.25
CSCO,2023-08-16,1.06,1.14,7.68
CSCO,2023-11-15,1.03,1.11,7.71
CSCO,2024-02-14,0.84,0.87,3.96
CSCO,2024-05-15,0.82,0.88,7.71
CSCO,2024-08-14,0.85,0.87,2.49
CSCO,2024-11-13,0.87,0.91,4.47
CSCO,2025-02-12,0.91,0.94,3.41
CSCO,2025-05-14,0.92,0.96,4.64
CSCO,2025-08-13,0.98,0.99,1.3
CSCO,2025-11-12,0.98,1.0,1.82
CSCO,2026-02-11,1.02,1.04,1.75
GOOGL,2016-02-01,0.33,0.35,8.14
GOOGL,2016-04-21,0.31,0.3,-4.21
GOOGL,2016-07-28,0.32,0.35,9.23
GOOGL,2016-10-27,0.34,0.36,8.13
GOOGL,2017-01-26,0.38,0.38,-0.52
GOOGL,2017-04-27,0.37,0.39,4.97
GOOGL,2017-07-24,0.22,0.25,13.25
GOOGL,2017-10-26,0.42,0.48,14.66
GOOGL,2018-02-01,0.5,-0.22,-143.27
GOOGL,2018-04-23,0.46,0.67,43.72
GOOGL,2018-07-23,0.19,0.23,21.83
GOOGL,2018-10-25,0.52,0.65,25.5
GOOGL,2019-02-04,0.54,0.64,17.57
GOOGL,2019-04-29,0.5,0.48,-4.97
GOOGL,2019-07-25,0.56,0.71,27.2
GOOGL,2019-10-28,0.62,0.51,-18.75
GOOGL,2020-02-03,0.63,0.77,22.57
GOOGL,2020-04-28,0.51,0.49,-3.38
GOOGL,2020-07-30,0.41,0.51,24.14
GOOGL,2020-10-29,0.56,0.82,46.24
GOOGL,2021-02-02,0.79,1.12,41.85
GOOGL,2021-04-27,0.78,1.31,67.76
GOOGL,2021-07-27,0.96,1.36,41.37
GOOGL,2021-10-26,1.17,1.4,20.02
GOOGL,2022-02-01,1.36,1.53,12.65
GOOGL,2022-04-26,1.29,1.23,-4.43
GOOGL,2022-07-26,1.27,1.21,-5.05
GOOGL,2022-10-25,1.25,1.06,-15.27
GOOGL,2023-02-02,1.19,1.05,-11.87
GOOGL,2023-04-25,1.07,1.17,9.52
GOOGL,2023-07-25,1.34,1.44,7.23
GOOGL,2023-10-24,1.45,1.55,6.74
GOOGL,2024-01-30,1.6,1.64,2.75
GOOGL,2024-04-25,1.51,1.89,24.98
GOOGL,2024-07-23,1.85,1.89,2.4
