date,delta_dollars,gamma_dollars,vega_dollars,theta_dollars,open_legs,n_tickers
2023-11-08,2690.3890050932114,562.1490902877533,298.89435215093965,-475.16570560111654,50,23
2023-11-09,2454.487781186879,516.6242350318545,264.8869145453144,-407.86956198498314,56,23
2023-11-10,3634.254969397457,474.71078898689564,261.7283065427176,-377.64099057474095,56,23
2023-11-13,3533.5738766597437,500.1401994948453,286.95787374769696,-336.5921934399363,60,23
2023-11-14,4663.926434614049,398.59546649735654,322.0149852741972,-122.86518727172025,69,25
2023-11-15,4671.580639893333,406.86474602468445,341.3638724323303,-46.20328367647612,67,25
2023-11-16,4638.122348063516,381.7450584419037,375.4180812381005,332.66846427591616,63,25
2023-11-17,4649.220141964726,376.1218389259667,549.9859547460562,-178.82929459521407,55,25
2023-11-20,5166.778789349746,334.1351052464986,409.5738746127661,52.193168331413915,54,24
2023-11-21,4343.7884063347965,292.33226639880394,419.56995423790556,235.63819539300152,58,25
2023-11-22,5080.318000089248,178.6836516261642,484.14554656321883,-244.86999550562345,58,25
2023-11-24,2953.135285349227,394.04380553366457,466.1227643934312,-282.5104182112182,52,25
2023-11-27,4369.13979051998,454.08889167175414,487.92122627561326,-280.4683725494004,54,25
2023-11-28,4238.772921162272,474.29249289575307,486.0228500913088,-400.69872392664155,52,25
2023-11-29,4345.025326960383,492.4356303535167,463.3965733958063,-422.10790022867036,51,25
2023-11-30,4061.6442811770635,515.5512320270684,469.2081408008198,-440.0133684021851,51,25
2023-12-01,4182.392042364568,489.61592752635477,446.61685102543606,-436.6740085367214,50,25
2023-12-04,3777.4490778627232,507.02769470516563,433.25028751183515,-483.6555681802537,54,25
2023-12-05,3797.801501371252,533.023836423016,433.7944061023749,-521.2523050642961,54,25
2023-12-06,3579.5852258032346,482.1446704681552,321.19302886078157,-384.3823774400791,58,25
2023-12-07,3110.086115048588,298.55908991259855,288.6585429289085,-189.16661592873518,56,24
2023-12-08,3331.756529094459,292.93732669126894,265.12585626234386,-144.21450015147983,56,24
2023-12-11,3244.295263038041,245.92608828506786,424.5257237202151,7.826420711474384,54,24
2023-12-12,3458.4760597595528,250.5257256006118,449.32600991573696,-2.080288834018568,54,24
2023-12-13,2876.507763479527,199.80386942774297,475.3303575597734,516.4512761614612,56,24
2023-12-14,3661.199596363984,94.85857579982924,420.19647731268753,54.277922962668626,56,24
2023-12-15,3118.5874032579,324.22737859757524,448.62545299137054,-272.9431110093391,52,24
2023-12-18,3372.4266220548716,332.92085318869937,449.8202395941413,-270.07689545966923,52,24
2023-12-19,3576.0123668958363,325.89662999215835,451.0302265563075,-257.58595133062926,52,24
2023-12-20,2994.670062425939,350.8102628703574,443.72673858848947,-217.7206162949929,50,24
2023-12-21,3363.4342303134044,351.5518475166088,440.36906269927886,-301.58537830464593,50,24
2023-12-22,3477.088334176492,359.4834937341625,427.16821885517436,-328.0110036674235,48,24
2023-12-26,3646.620764971685,368.34886517884735,427.3680614791575,-337.0486345556107,48,24
2023-12-27,3699.4535792338233,376.58044820101713,417.95875429426695,-341.7196779991769,48,24
2023-12-28,3634.2645440164047,369.787495261428,363.46888828911324,-333.1479990625114,48,24
2023-12-29,3506.4042913497087,367.87869651083054,345.39976745778694,-333.83522197381546,48,24
2024-01-02,3027.8005973522277,408.7705511934965,330.78928547309675,-365.97316634094426,48,24
2024-01-03,2612.820783369755,407.4610907827534,304.58429359679917,-367.08525306091406,48,24
2024-01-04,2534.994661519567,415.7494443410721,290.83714465880274,-366.40295668392355,48,24
2024-01-05,2689.7055578437626,415.68184315655037,296.6218318039312,-353.85465838055745,48,24
2024-01-08,3582.683601662294,407.010801695357,287.69071110726463,-351.5086813852867,48,24
2024-01-09,3663.896882544971,418.0127718722935,278.70329011980584,-353.82327784278255,48,24
2024-01-10,3807.908081712718,392.34625016360644,242.8091338098793,-343.9666122507506,48,24
2024-01-11,3958.484295589913,386.80694332679985,302.9725273147044,-329.97338970259733,48,24
2024-01-12,3906.095645862061,383.73073118301556,281.6003553746446,-328.8224723537722,48,24
2024-01-16,3810.7044826067563,373.08201997729077,61.42253615870806,-202.32447093034966,51,24
2024-01-17,4201.1450544478175,307.1424342413159,25.119781595917097,-122.62703873200397,56,24
2024-01-18,4466.59938960583,260.36088835877194,78.61518199048496,-54.841554396096996,55,24
2024-01-19,3571.2806159311176,234.29282208083393,64.36202308969668,21.72273476571418,53,24
2024-01-22,5514.810600621564,245.55554021322146,401.577669632334,248.59517372047725,56,24
2024-01-23,3569.003849915436,134.30311577779716,429.50566755799804,645.055376172093,64,24
2024-01-24,3704.3676550984883,142.2517045764221,341.4639384999514,273.2001142756899,66,23
2024-01-25,4434.987361375248,102.419345610173,589.4481645337072,258.8219994627613,74,22
2024-01-26,4109.922856494332,109.65882829347917,732.7655885300986,262.8216604534238,71,22
2024-01-29,4344.671492880964,94.34729759270716,948.8270440381223,689.3637423707977,75,22
2024-01-30,3812.5170078246297,84.50934628110674,804.3475135372722,1166.0625726969972,72,22
2024-01-31,3865.463080608458,-118.0222250290966,617.5797465122394,1154.684430552213,74,22
2024-02-01,2598.760410961269,-306.17642349219835,180.2306647196262,2249.7510479517855,66,21
2024-02-02,3426.2840223900894,295.0708039185034,145.95350155188888,-216.530645991774,52,21
2024-02-05,3267.6204020902114,299.44056845955595,101.29486226599036,-124.81844925984174,50,21
2024-02-06,2729.793749183231,270.39173786181954,114.91366326802383,14.742502368256153,50,21
2024-02-07,3428.5190745262553,283.14643895860667,109.65595180635935,-136.64347741675064,47,21
2024-02-08,3298.183042140946,218.7973126369373,311.44185774328196,76.72279516170808,53,21
2024-02-09,3681.5654614617774,237.64903513059568,272.0732398423277,-178.3976425561198,48,21
2024-02-12,3551.701843026275,276.43752653584204,228.57124411616874,-127.30515865383947,48,20
2024-02-13,2835.9525832303834,249.3124136416574,180.95868761970598,26.464044571674314,46,20
2024-02-14,3429.5129856717294,145.3935725428444,384.94232192041386,387.3444821614713,48,20
2024-02-15,3127.292999986274,208.0228857096385,354.16827876010495,404.6909569358887,45,20
2024-02-16,2896.7128272497275,258.02988412976975,392.64488205332145,185.12890413602577,40,20
2024-02-20,2726.151753798129,275.23833392014467,740.3759637179998,745.2970956141936,44,18
2024-02-21,1677.4004323329348,263.0441201015738,376.67461643394364,833.0095595718194,42,18
2024-02-22,364.4565469883141,167.2881543152684,1281.4438912910766,-183.5114390950013,44,19
2024-02-23,2284.0219665269206,462.1163739679691,1268.4626433207598,-364.65992962948553,42,19
2024-02-26,2295.8142309223604,447.4777581574828,1258.3323057002726,-337.2296235864473,40,19
2024-02-27,2379.301921408523,452.73215981560276,1258.3756341876667,-396.6797322599259,39,19
2024-02-28,2106.943368400858,469.2371763612696,1261.7679152474361,-363.1672163974503,40,19
2024-02-29,2992.933212373208,190.7213442424758,1560.103666106833,59.53882209580705,43,20
2024-03-01,2856.4211851057134,287.15775643504173,1509.1407383766502,42.58207230044473,42,20
2024-03-04,2847.4820516630857,262.03198303589454,1539.297967728063,387.65577857427473,46,20
2024-03-05,2761.6537962192215,137.1478862705025,1508.8830305608494,1054.4575172201933,46,20
2024-03-06,2993.5216246722225,119.15193750916241,1465.6600209233748,1835.1628322941979,48,21
2024-03-07,3137.106689485455,146.1226701704555,1563.5344020275884,3578.7971905371483,52,21
2024-03-08,3838.9853319908884,634.4206738845315,1671.2038258018138,-411.80152604092257,50,21
2024-03-11,3406.4630772854607,669.6306561707954,1751.7598317024892,-269.20305233162776,48,21
2024-03-12,4457.025090807556,713.7496935238665,1589.5016917184178,-579.7803091197704,47,21
2024-03-13,4078.297535267013,721.1616996438836,2037.8149416003641,-462.5180496672186,57,22
2024-03-14,4012.855957595249,631.400415734451,2021.0646339499654,1499.2454831648909,56,22
2024-03-15,3457.2070317307375,765.0433869281625,2023.8887241090868,-313.6654960642196,52,22
2024-03-18,3894.040132139464,793.80288728156,1999.7442594268275,-199.6698111535501,52,22
2024-03-19,4093.6859757894626,851.3835137681917,1981.4426796803823,-116.24149667766099,52,22
2024-03-20,4676.335016110297,867.9563455114571,1935.5166241922507,-190.4512123795386,47,22
2024-03-21,5599.070653244877,838.9368318802007,1860.2938264956883,-262.29969724076363,47,22
2024-03-22,5804.745475790173,824.9347577146243,1793.2604938590578,-447.8375010976786,44,22
2024-03-25,5788.990214161093,836.121108995652,1769.1644432258172,-471.3311553221612,44,22
2024-03-26,5400.535297709995,864.0465994697323,1801.3733207337998,-482.70983193244666,44,22
2024-03-27,4890.870787381516,848.1006564020144,1849.1114642657205,-470.356264408552,44,22
2024-03-28,4770.661052791152,837.1022477365881,1849.6203375672385,-475.0382308465849,44,22
2024-04-01,5221.248016243574,808.9003588325048,1841.768462449497,-486.0368210617295,44,22
