date,gross_notional,net_exposure,open_legs,daily_pnl,daily_trade_flow,cum_pnl
2016-09-08,27880.0,27522.0,32,-492.0000000000002,529.0,-7418.999208450321
2016-09-09,26749.0,26351.0,32,-1171.0,0.0,-8589.999208450321
2016-09-12,27005.0,26637.0,32,285.99999999999966,0.0,-8303.999208450321
2016-09-13,26984.0,26628.0,32,-8.999999999999318,0.0,-8312.999208450321
2016-09-14,27194.0,26834.0,32,206.0000000000001,172.0,-8106.999208450321
2016-09-15,27645.0,27281.0,30,619.0,0.0,-7487.999208450321
2016-09-16,26922.00018310547,26705.99981689453,30,-575.0001831054694,108.00018310546875,-8062.999391555791
2016-09-19,27602.0,27602.0,30,-631.9999999999991,1420.0,-8694.99939155579
2016-09-20,30110.0,30110.0,32,367.99999999999847,2140.0,-8326.999391555792
2016-09-21,30980.0,30980.0,32,870.0000000000008,0.0,-7456.999391555791
2016-09-22,32575.0,32575.0,32,1595.0000000000002,0.0,-5861.999391555791
2016-09-23,32029.0,32029.0,32,-545.9999999999998,0.0,-6407.999391555791
2016-09-26,30493.0,30493.0,32,-1535.9999999999995,0.0,-7943.99939155579
2016-09-27,32718.0,32460.0,36,1739.0000000000002,486.0,-6204.99939155579
2016-09-28,33490.0,33180.0,36,720.0000000000005,0.0,-5484.99939155579
2016-09-29,33467.0,33163.0,36,-17.000000000001705,0.0,-5501.999391555792
2016-09-30,33696.0,33424.0,36,261.0000000000007,0.0,-5240.999391555791
2016-10-03,32902.0,32640.0,36,-783.9999999999999,373.0,-6024.999391555791
2016-10-04,32621.0,32361.0,34,93.99999999999943,0.0,-5930.999391555792
2016-10-05,33655.0,33555.0,34,1194.0000000000005,0.0,-4736.999391555792
2016-10-06,33935.0,33855.0,34,299.9999999999997,0.0,-4436.999391555792
2016-10-07,33354.999938964844,33277.000061035156,34,-577.9999389648436,38.99993896484375,-5014.999330520635
2016-10-10,35094.0,32974.0,34,717.9999999999998,1060.0,-4296.999330520635
2016-10-11,33804.0,31316.0,36,-1504.0000000000007,154.0,-5800.999330520636
2016-10-12,35595.0,31941.0,40,-140.00000000000006,1695.0,-5940.999330520636
2016-10-13,34793.0,30207.0,42,-1415.9999999999995,318.0,-7356.999330520635
2016-10-14,34453.0,29951.0,42,-255.99999999999966,1307.0,-7612.999330520635
2016-10-17,32720.0,28290.0,38,-354.0000000000009,245.0,-7966.999330520636
2016-10-18,35608.0,29690.0,40,875.0,1880.0,-7091.999330520636
2016-10-19,41488.0,32100.0,44,-364.9999999999998,6165.0,-7456.999330520636
2016-10-20,62099.0,31705.0,50,-1056.9999999999989,22028.0,-8513.999330520635
2016-10-21,62620.00004577637,31497.999954223633,50,-207.00004577636815,2977.000045776367,-8720.999376297004
2016-10-24,62835.0,37947.0,46,2320.0000000000005,2935.0,-6400.999376297004
2016-10-25,59988.0,35366.0,44,-798.0000000000003,3024.0,-7198.999376297004
2016-10-26,57246.0,31986.0,48,-782.0000000000007,20238.0,-7980.999376297005
2016-10-27,37620.0,14274.0,42,-87.9999999999992,0.0,-8068.999376297004
2016-10-28,30041.995803833008,18764.004196166992,42,4490.004196166992,4524.995803833008,-3578.995180130012
2016-10-31,25049.0,23057.0,32,-232.00000000000017,0.0,-3810.995180130012
2016-11-01,24974.0,22888.0,32,-168.99999999999972,2855.0,-3979.9951801300117
2016-11-02,22368.0,20238.0,28,205.00000000000026,0.0,-3774.9951801300112
2016-11-03,23205.0,19575.0,30,29.999999999999247,693.0,-3744.995180130012
2016-11-04,23470.99969482422,19855.00030517578,30,280.0003051757825,1069.9996948242188,-3464.9948749542295
2016-11-07,21531.0,20215.0,26,-710.0000000000011,0.0,-4174.994874954231
2016-11-08,21302.0,20016.0,26,-198.9999999999995,0.0,-4373.99487495423
2016-11-09,21166.0,19706.0,28,-155.0000000000005,1621.0,-4528.994874954231
2016-11-10,21540.0,19954.0,26,1714.000000000001,0.0,-2814.99487495423
2016-11-11,22618.99993133545,18705.00006866455,26,-1248.9999313354492,1796.9999313354492,-4063.994806289679
2016-11-14,22337.0,22029.0,24,1526.9999999999989,0.0,-2536.99480628968
2016-11-15,20566.0,20294.0,24,-1734.9999999999989,195.0,-4271.994806289679
2016-11-16,19747.0,19459.0,22,-639.9999999999999,235.0,-4911.994806289679
2016-11-17,19204.0,18652.0,20,-572.0000000000014,0.0,-5483.99480628968
2016-11-18,18748.999969482422,18285.000030517578,20,-366.9999694824207,231.99996948242188,-5850.994775772101
2016-11-21,18028.0,18028.0,20,-1187.0000000000005,698.0,-7037.994775772102
2016-11-22,28192.0,28192.0,24,132.99999999999994,10031.0,-6904.994775772102
2016-11-23,27910.0,27910.0,24,-281.9999999999993,0.0,-7186.994775772101
2016-11-25,27910.0,27910.0,24,0.0,0.0,-7186.994775772101
2016-11-28,27776.0,27776.0,24,-134.00000000000068,0.0,-7320.994775772102
2016-11-29,27486.0,27486.0,24,-290.00000000000074,0.0,-7610.994775772103
2016-11-30,28287.0,28287.0,24,801.0000000000005,0.0,-6809.994775772102
2016-12-01,29878.0,29878.0,24,1591.000000000001,0.0,-5218.994775772101
2016-12-02,29474.0,29474.0,24,-404.000000000001,0.0,-5622.994775772102
2016-12-05,27313.0,27313.0,24,-2161.0,0.0,-7783.994775772102
2016-12-06,29570.0,29570.0,26,261.00000000000085,1996.0,-7522.994775772101
2016-12-07,28656.0,28656.0,26,-914.0000000000001,1105.0,-8436.994775772102
2016-12-08,28398.0,27030.0,30,-185.00000000000017,1032.0,-8621.994775772102
2016-12-09,27463.0,26081.0,30,-948.9999999999999,0.0,-9570.994775772102
2016-12-12,27367.0,25891.0,30,-190.00000000000034,0.0,-9760.994775772102
2016-12-13,26953.0,25419.0,30,-471.9999999999995,0.0,-10232.994775772102
2016-12-14,28271.0,26505.0,34,811.9999999999994,729.0,-9420.994775772102
2016-12-15,28078.0,26348.0,32,14.000000000000412,0.0,-9406.994775772102
2016-12-16,27359.99984741211,26594.00015258789,32,246.00015258789034,234.99984741210938,-9160.994623184211
2016-12-19,29233.0,28981.0,30,-277.99999999999966,2430.0,-9438.994623184211
2016-12-20,29378.0,29112.0,30,131.00000000000017,302.0,-9307.994623184211
2016-12-21,29281.0,29033.0,28,222.99999999999955,0.0,-9084.994623184211
2016-12-22,30336.0,29622.0,28,589.0000000000006,0.0,-8495.994623184211
2016-12-23,30631.000022888184,29978.999977111816,28,356.99997711181555,326.0000228881836,-8138.994646072396
2016-12-27,30730.0,30730.0,26,425.0000000000006,0.0,-7713.994646072395
2016-12-28,29906.0,29906.0,26,-824.0000000000002,0.0,-8537.994646072395
2016-12-29,29907.0,29907.0,26,1.000000000000142,0.0,-8536.994646072395
2016-12-30,30436.0,30436.0,26,529.0,0.0,-8007.994646072395
2017-01-03,28701.0,28701.0,26,-1735.0000000000011,0.0,-9742.994646072397
2017-01-04,28449.0,28449.0,26,-251.99999999999937,0.0,-9994.994646072397
2017-01-05,27548.0,27548.0,26,-901.0,0.0,-10895.994646072397
2017-01-06,27214.0,27214.0,26,-334.00000000000057,0.0,-11229.994646072397
2017-01-09,27597.0,27597.0,26,383.00000000000074,0.0,-10846.994646072397
2017-01-10,26903.0,26903.0,26,-694.0000000000003,0.0,-11540.994646072397
2017-01-11,29656.0,26146.0,32,-302.0,3055.0,-11842.994646072397
2017-01-12,29285.0,25775.0,32,-371.00000000000045,0.0,-12213.994646072397
2017-01-13,30100.0,26530.0,32,755.0000000000008,0.0,-11458.994646072397
2017-01-17,29136.0,25566.0,32,-963.9999999999995,3778.0,-12422.994646072397
2017-01-18,25805.0,21145.0,28,-643.0000000000014,0.0,-13065.994646072399
2017-01-19,29937.0,18317.0,34,1208.0000000000005,4036.0,-11857.994646072399
2017-01-20,28944.999961853027,18261.000038146973,34,-55.99996185302723,1564.9999618530273,-11913.994607925426
2017-01-23,33729.0,25063.0,40,1214.9999999999998,4833.0,-10698.994607925426
2017-01-24,35118.0,25234.0,44,469.0000000000002,3154.0,-10229.994607925426
2017-01-25,35324.0,24348.0,42,601.0000000000001,6101.0,-9628.994607925426
2017-01-26,34595.0,13431.0,40,421.0000000000001,5237.0,-9207.994607925426
2017-01-27,32247.9981842041,15418.001815795898,40,1987.0018157958996,2628.998184204101,-7220.992792129527
2017-01-30,29162.0,17674.0,34,-373.000000000001,778.0,-7593.9927921295275
2017-01-31,28029.0,16453.0,32,-443.0000000000004,0.0,-8036.9927921295275
2017-02-01,29239.0,16423.0,32,-29.999999999999716,6450.0,-8066.9927921295275
2017-02-02,23734.0,9416.0,30,532.9999999999998,1090.0,-7533.9927921295275
2017-02-03,24049.003395080566,9188.996604919434,30,-227.00339508056553,6365.003395080566,-7760.996187210093
2017-02-06,18269.0,16219.0,22,665.0000000000002,0.0,-7095.996187210093
2017-02-07,18820.0,16570.0,22,350.99999999999943,0.0,-6744.996187210094
2017-02-08,19537.0,17079.0,24,658.0000000000005,4865.0,-6086.996187210094
2017-02-09,15471.0,13153.0,22,789.9999999999999,0.0,-5296.996187210094
2017-02-10,14654.999534606934,14105.000465393066,22,952.0004653930654,137.9995346069336,-4344.995721817028
2017-02-13,15728.0,15492.0,20,1249.000000000001,0.0,-3095.9957218170275
2017-02-14,15559.0,15335.0,20,-156.9999999999997,107.0,-3252.995721817027
2017-02-15,17420.0,13388.0,20,49.9999999999996,1890.0,-3202.9957218170275
2017-02-16,16807.0,12271.000000000002,20,-1116.9999999999993,0.0,-4319.995721817027
2017-02-17,17019.00016784668,12720.99983215332,20,449.9998321533193,124.00016784667969,-3869.995889663707
2017-02-21,33429.0,29699.0,24,688.9999999999997,23874.0,-3180.9958896637077
2017-02-22,29094.0,23254.0,26,-415.9999999999999,3820.0,-3596.9958896637077
2017-02-23,29493.0,22395.0,26,-859.0000000000003,0.0,-4455.995889663708
2017-02-24,29243.000190734863,22502.999809265137,26,107.9998092651359,2300.0001907348637,-4347.996080398572
2017-02-27,26477.0,24297.0,24,-505.9999999999996,0.0,-4853.996080398572
2017-02-28,26332.0,24292.0,24,-5.000000000000697,0.0,-4858.996080398573
2017-03-01,27304.0,25214.0,24,922.0000000000011,0.0,-3936.9960803985723
2017-03-02,26281.0,24711.0,24,-502.9999999999998,0.0,-4439.996080398572
2017-03-03,26244.000732421875,24579.999267578125,24,-131.0007324218761,832.000732421875,-4570.996812820448
2017-03-06,25280.0,25280.0,22,-131.9999999999991,0.0,-4702.996812820447
2017-03-07,25048.0,25048.0,22,-232.00000000000003,0.0,-4934.996812820447
