n_entry,m_exit,n_trades,cum_pnl,avg_pnl,win_rate,avg_ret,med_ret
2,5,492,-69510.48478317261,-141.28147313652968,41.260162601626014,-2.3471625997899728,-16.889850688448377
2,6,492,-72582.48478317261,-147.52537557555408,40.853658536585364,-3.873707067182936,-16.367894269650854
2,7,491,-46639.48470687866,-94.98876722378546,40.32586558044807,-2.9205446064766685,-17.653617645775142
2,8,492,-71055.48478317261,-144.42171703896872,41.86991869918699,-4.354985412109399,-17.319805221690963
2,9,492,-97411.48478317261,-197.99082273002563,41.66666666666667,-4.391361226031407,-16.820344405727717
2,10,492,-100768.48478317261,-204.81399346173293,40.040650406504064,-5.607313639825159,-15.468395939516096
2,11,492,-106942.48478317261,-217.36277394953783,39.22764227642276,-5.298692250710141,-18.541321562604814
2,12,492,-78389.48478317261,-159.32822110400937,41.260162601626014,-4.150075165175831,-14.697641430113048
2,13,492,-105682.48478317261,-214.80179833978173,40.65040650406504,-4.236223973029903,-13.530225028288001
2,14,492,-116995.48478317258,-237.79570077880607,40.243902439024396,-5.247069783345816,-16.073939101007774
2,15,492,-108198.48478317261,-219.91561947799312,38.82113821138211,-5.50522931055797,-18.095474783510937
3,1,487,-57961.47727584839,-119.01740713726568,43.53182751540041,-0.13175653554381325,-17.889042289889577
3,2,489,-37745.478496551514,-77.18911757985994,41.513292433537835,0.5620080858671289,-15.916833426866722
3,3,488,-60826.479106903076,-124.64442439939155,41.80327868852459,-0.5134647067137276,-16.008293246234985
3,4,492,-76164.48461532593,-154.80586303928035,40.447154471544714,-1.9865806869324463,-17.565105234218066
3,5,493,-66320.48461532596,-134.5243095645557,41.37931034482759,-2.126143484950021,-15.037553830254346
3,6,493,-69392.48461532593,-140.75554688707084,41.58215010141988,-3.6359273764087154,-15.768231086011234
3,7,492,-43441.48453903198,-88.29570028258533,40.243902439024396,-2.7260120141890494,-16.298157768756766
3,8,493,-67880.48461532591,-137.68860976739535,41.37931034482759,-4.2061928990668305,-15.948236399683461
3,9,493,-94275.48461532591,-191.22816351993086,41.17647058823529,-4.195894435210145,-17.21312726130251
3,10,493,-97622.48461532593,-198.01721017307491,41.17647058823529,-5.454998520035412,-17.180549520753008
3,11,493,-103846.48461532593,-210.64195662337917,40.97363083164301,-5.232169401119153,-17.586192865481333
3,12,493,-75318.48461532593,-152.7758308627301,42.393509127789045,-4.04931625331494,-14.422744682346329
3,13,493,-102601.48461532593,-208.11660165380513,40.77079107505071,-4.095676123192157,-12.82962464640504
3,14,493,-113888.48461532593,-231.01112498037713,40.97363083164301,-5.0672245071181345,-14.618669930150938
3,15,493,-105111.48461532591,-213.20787954427163,39.350912778904664,-5.411504784294361,-18.73853084448916
4,1,487,-46422.47727584839,-95.3233619627277,43.737166324435314,0.00907973536443707,-17.336418263447857
4,2,489,-26204.478496551514,-53.58789058599491,42.12678936605317,0.7372135727155034,-15.748015476336958
4,3,488,-49165.479106903105,-100.74893259611292,42.21311475409836,-0.26836322107766225,-14.093396197299615
