ticker,earn_dt,short_entry_dt,long_entry_dt,short_exit_dt,long_exit_dt,sc_entry,sp_entry,lc_entry,lp_entry,sc_exit,sp_exit,lc_exit,lp_exit,short_credit,short_debit,short_pnl,long_debit,long_credit,long_pnl,net_premium,total_pnl,return_pct
ABNB,2022-05-03,2022-04-26,2022-06-22,2022-05-06,2022-08-01,7.6,9.45,0.45,56.05,0.0,19.160003662109375,0.05,43.3,1704.9999999999998,1916.0003662109375,-211.00036621093773,5650.0,4334.999999999999,-1315.000000000001,3945.0,-1526.0003662109386,-38.681885075055476
ABNB,2022-08-02,2022-07-26,2022-08-08,2022-08-05,2022-10-31,6.5,4.5,23.15,6.2,17.110000610351562,0.0,11.35,4.3,1100.0,1711.0000610351562,-611.0000610351562,2935.0,1564.9999999999998,-1370.0000000000002,1835.0,-1981.0000610351565,-107.95640659592134
ABNB,2022-11-01,2022-10-25,2022-11-09,2022-11-04,2023-02-13,5.35,6.75,3.65,26.85,0.0,23.910003662109375,3.75,7.25,1210.0,2391.0003662109375,-1181.0003662109375,3050.0,1100.0,-1950.0,1840.0,-3131.0003662109375,-170.16306338102922
ABNB,2023-02-14,2023-02-07,2023-03-16,2023-02-17,2023-05-08,5.35,5.45,10.5,9.55,11.600006103515625,0.0,9.3,3.45,1080.0,1160.0006103515625,-80.0006103515625,2005.0,1275.0,-730.0,925.0,-810.0006103515625,-87.56763355152027
ABNB,2023-05-09,2023-05-02,2023-05-02,2023-05-12,2023-08-02,6.0,5.15,13.75,11.35,0.0,14.724998474121094,24.55,0.65,1115.0,1472.4998474121094,-357.4998474121094,2510.0,2520.0,10.0,1395.0,-347.4998474121094,-24.910383327032932
ABNB,2023-08-03,2023-07-27,2023-08-09,2023-08-04,2023-10-31,5.7,6.95,8.05,18.15,0.0,9.830001831054688,0.12,31.35,1265.0,983.0001831054688,281.99981689453125,2620.0,3147.0000000000005,527.0000000000005,1355.0,808.9998168945317,59.70478353465178
ABNB,2023-11-01,2023-10-25,2023-11-07,2023-11-03,2024-02-12,5.2,6.5,11.6,8.75,2.6399993896484375,0.0,33.45,0.08,1170.0,263.99993896484375,906.0000610351562,2035.0000000000002,3353.0,1317.9999999999998,865.0000000000002,2224.0000610351562,257.1098336456827
ABNB,2024-02-13,2024-02-06,2024-03-13,2024-02-16,2024-05-07,6.2,6.45,24.7,3.4,7.5099945068359375,0.0,16.55,1.59,1265.0,750.9994506835938,514.0005493164062,2810.0,1814.0,-996.0,1545.0,-481.99945068359375,-31.19737544877629
ABNB,2024-05-08,2024-05-01,2024-05-21,2024-05-10,2024-08-05,7.5,6.1,5.95,15.35,0.0,8.67999267578125,0.39,29.45,1360.0,867.999267578125,492.000732421875,2130.0,2984.0,854.0,770.0,1346.000732421875,174.80528992491884
ABNB,2024-08-06,2024-07-30,2024-07-30,2024-08-09,2024-11-06,5.85,6.65,12.75,11.65,0.0,24.919998168945312,6.95,5.85,1250.0,2491.9998168945312,-1241.9998168945312,2440.0,1280.0,-1160.0,1190.0,-2401.9998168945312,-201.84872410878413
