ticker,earn_dt,next_earn,entry_dt,short_exp,long_exp,spot,strike,short_call,short_put,long_call,long_put
ORCL,2018-03-19,2018-06-19,2018-03-12,2018-03-23,2018-07-20,52.900001525878906,55.0,ORCL  180323C00055000,ORCL  180323P00055000,ORCL  180720C00055000,ORCL  180720P00055000
ORCL,2018-06-19,2018-09-17,2018-06-12,2018-06-22,2018-09-21,48.45000076293945,47.5,ORCL  180622C00047500,ORCL  180622P00047500,ORCL  180921C00047500,ORCL  180921P00047500
ORCL,2018-09-17,2018-12-17,2018-09-10,2018-09-21,2018-12-21,48.86000061035156,50.0,ORCL  180921C00050000,ORCL  180921P00050000,ORCL  181221C00050000,ORCL  181221P00050000
ORCL,2018-12-17,2019-03-14,2018-12-10,2018-12-21,2019-03-15,46.66999816894531,47.5,ORCL  181221C00047500,ORCL  181221P00047500,ORCL  190315C00047500,ORCL  190315P00047500
ORCL,2019-03-14,2019-06-19,2019-03-07,2019-03-15,2019-06-21,52.58000183105469,55.0,ORCL  190315C00055000,ORCL  190315P00055000,ORCL  190621C00055000,ORCL  190621P00055000
ORCL,2019-06-19,2019-09-11,2019-06-12,2019-06-21,2019-09-20,53.619998931884766,55.0,ORCL  190621C00055000,ORCL  190621P00055000,ORCL  190920C00055000,ORCL  190920P00055000
ORCL,2019-09-11,2019-12-12,2019-09-04,2019-09-13,2019-12-20,52.970001220703125,55.0,ORCL  190913C00055000,ORCL  190913P00055000,ORCL  191220C00055000,ORCL  191220P00055000
ORCL,2019-12-12,2020-03-12,2019-12-05,2019-12-13,2020-03-20,54.68000030517578,55.0,ORCL  191213C00055000,ORCL  191213P00055000,ORCL  200320C00055000,ORCL  200320P00055000
ORCL,2020-03-12,2020-06-16,2020-03-05,2020-03-13,2020-06-19,48.0,47.5,ORCL  200313C00047500,ORCL  200313P00047500,ORCL  200619C00047500,ORCL  200619P00047500
ORCL,2020-06-16,2020-09-10,2020-06-09,2020-06-19,2020-09-18,54.18000030517578,55.0,ORCL  200619C00055000,ORCL  200619P00055000,ORCL  200918C00055000,ORCL  200918P00055000
ORCL,2020-09-10,2020-12-10,2020-09-03,2020-09-11,2020-12-18,57.099998474121094,55.0,ORCL  200911C00055000,ORCL  200911P00055000,ORCL  201218C00055000,ORCL  201218P00055000
ORCL,2020-12-10,2021-03-10,2020-12-03,2020-12-11,2021-03-19,59.27000045776367,60.0,ORCL  201211C00060000,ORCL  201211P00060000,ORCL  210319C00060000,ORCL  210319P00060000
ORCL,2021-03-10,2021-06-15,2021-03-03,2021-03-12,2021-06-18,66.91000366210938,65.0,ORCL  210312C00065000,ORCL  210312P00065000,ORCL  210618C00065000,ORCL  210618P00065000
ORCL,2021-06-15,2021-09-13,2021-06-08,2021-06-18,2021-09-17,84.61000061035156,85.0,ORCL  210618C00085000,ORCL  210618P00085000,ORCL  210917C00085000,ORCL  210917P00085000
ORCL,2021-09-13,2021-12-09,2021-09-06,2021-09-17,2021-12-17,90.0,90.0,ORCL  210917C00090000,ORCL  210917P00090000,ORCL  211217C00090000,ORCL  211217P00090000
ORCL,2021-12-09,2022-03-10,2021-12-02,2021-12-10,2022-03-18,89.98999786376953,90.0,ORCL  211210C00090000,ORCL  211210P00090000,ORCL  220318C00090000,ORCL  220318P00090000
ORCL,2022-03-10,2022-06-13,2022-03-03,2022-03-11,2022-06-17,78.25,80.0,ORCL  220311C00080000,ORCL  220311P00080000,ORCL  220617C00080000,ORCL  220617P00080000
ORCL,2022-06-13,2022-09-12,2022-06-06,2022-06-17,2022-09-16,72.97000122070312,75.0,ORCL  220617C00075000,ORCL  220617P00075000,ORCL  220916C00075000,ORCL  220916P00075000
ORCL,2022-09-12,2022-12-12,2022-09-05,2022-09-16,2022-12-16,74.68000030517578,75.0,ORCL  220916C00075000,ORCL  220916P00075000,ORCL  221216C00075000,ORCL  221216P00075000
ORCL,2022-12-12,2023-03-09,2022-12-05,2022-12-16,2023-03-17,79.43000030517578,80.0,ORCL  221216C00080000,ORCL  221216P00080000,ORCL  230317C00080000,ORCL  230317P00080000
ORCL,2023-03-09,2023-06-12,2023-03-02,2023-03-10,2023-06-16,86.97000122070312,85.0,ORCL  230310C00085000,ORCL  230310P00085000,ORCL  230616C00085000,ORCL  230616P00085000
